56,What is the name of the champion?,What is the name of the champion?,LoL/EkkoJayce.mp4,0,0
57,What is the name of the champion?,What is the name of the champion?,LoL/FiddleStick.mp4,0,0
58,What is the name of the champion?,What is the name of the champion?,LoL/Lux.mp4,0,0
59,What is the name of the champion?,What is the name of the champion?,LoL/Rakan.mp4,0,0
60,What is the name of the champion?,What is the name of the champion?,LoL/Talon.mp4,0,0
61,What is the name of the champion?,What is the name of the champion?,LoL/Thresh.mp4,0,0
62,What is the name of the champion?,What is the name of the champion?,LoL/Tristana.mp4,0,0
63,What is the name of the champion?,What is the name of the champion?,LoL/Tryndamere.mp4,0,0
64,What is the name of the champion?,What is the name of the champion?,LoL/Twisted Fate.mp4,0,0
65,What is the name of the champion?,What is the name of the champion?,LoL/Viegar.mp4,0,0
66,What is the name of the champion?,What is the name of the champion?,LoL/Zed.mp4,0,0
67,What is the name of the champion?,What is the name of the champion?,LoL/Zilean.mp4,0,0
